t,px,py,pz,vx,vy,vz,qw,qx,qy,qz,p,q,r,act_ail,act_ele,act_rud,act_thr
0.000000000000000000e+00,8.000000566244125366e-02,0.000000000000000000e+00,-1.000000000000000000e+02,1.990626716613769531e+01,0.000000000000000000e+00,3.924000263214111328e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.177071590063860640e-05,0.000000000000000000e+00,0.000000000000000000e+00,5.885357502847909927e-03,0.000000000000000000e+00,0.000000000000000000e+00,2.617993950843811035e-01,0.000000000000000000e+00,8.000000566244125366e-02
1.000000000000000056e-01,1.969624519348144531e+00,0.000000000000000000e+00,-9.989868927001953125e+01,1.784951972961425781e+01,0.000000000000000000e+00,2.662842750549316406e+00,9.911425113677978516e-01,0.000000000000000000e+00,-1.328030228614807129e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.721386790275573730e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.617993950843811035e-01,0.000000000000000000e+00,8.855848908424377441e-01
2.000000000000000111e-01,3.659185647964477539e+00,0.000000000000000000e+00,-9.949671173095703125e+01,1.586355972290039062e+01,0.000000000000000000e+00,5.362514972686767578e+00,9.761843681335449219e-01,0.000000000000000000e+00,-2.169428765773773193e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.724378228187561035e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.617993950843811035e-01,0.000000000000000000e+00,9.857708811759948730e-01
2.999999999999999889e-01,5.150230407714843750e+00,0.000000000000000000e+00,-9.885422515869140625e+01,1.388080120086669922e+01,0.000000000000000000e+00,7.490710735321044922e+00,9.545053243637084961e-01,0.000000000000000000e+00,-2.981939613819122314e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.644613504409790039e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.617993950843811035e-01,0.000000000000000000e+00,9.982303977012634277e-01
4.000000000000000222e-01,6.444352626800537109e+00,0.000000000000000000e+00,-9.802086639404296875e+01,1.193142604827880859e+01,0.000000000000000000e+00,9.178601264953613281e+00,9.274851679801940918e-01,0.000000000000000000e+00,-3.738599419593811035e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.573019981384277344e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.617993950843811035e-01,0.000000000000000000e+00,9.997798800468444824e-01
5.000000000000000000e-01,7.546001911163330078e+00,0.000000000000000000e+00,-9.703627014160156250e+01,1.003546428680419922e+01,0.000000000000000000e+00,1.051356124877929688e+01,8.960750699043273926e-01,0.000000000000000000e+00,-4.439026415348052979e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.501046419143676758e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.617993950843811035e-01,0.000000000000000000e+00,9.999726414680480957e-01
5.999999999999999778e-01,8.460937500000000000e+00,0.000000000000000000e+00,-9.593260192871093750e+01,8.200189590454101562e+00,0.000000000000000000e+00,1.155773639678955078e+01,8.612260222434997559e-01,0.000000000000000000e+00,-5.082220435142517090e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.428581476211547852e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.617993950843811035e-01,0.000000000000000000e+00,9.999966025352478027e-01
7.000000000000000666e-01,9.195348739624023438e+00,0.000000000000000000e+00,-9.473667144775390625e+01,6.427675724029541016e+00,0.000000000000000000e+00,1.235397529602050781e+01,8.238294124603271484e-01,0.000000000000000000e+00,-5.668377876281738281e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.356136202812194824e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.617993950843811035e-01,0.000000000000000000e+00,9.999996423721313477e-01
8.000000000000000444e-01,9.755585670471191406e+00,0.000000000000000000e+00,-9.347181701660156250e+01,4.719694614410400391e+00,0.000000000000000000e+00,1.293194293975830078e+01,7.846872806549072266e-01,0.000000000000000000e+00,-6.198920011520385742e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.284684419631958008e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.617993950843811035e-01,0.000000000000000000e+00,9.999996423721313477e-01
9.000000000000000222e-01,1.014826107025146484e+01,0.000000000000000000e+00,-9.215875244140625000e+01,3.079955339431762695e+00,0.000000000000000000e+00,1.331321334838867188e+01,7.444916367530822754e-01,0.000000000000000000e+00,-6.676318049430847168e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.215222120285034180e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.617993950843811035e-01,0.000000000000000000e+00,9.999996423721313477e-01
1.000000000000000000e+00,1.038046741485595703e+01,0.000000000000000000e+00,-9.081630706787109375e+01,1.514584064483642578e+00,0.000000000000000000e+00,1.351512336730957031e+01,7.038194537162780762e-01,0.000000000000000000e+00,-7.103788852691650391e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.148475527763366699e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.617993950843811035e-01,0.000000000000000000e+00,9.999996423721313477e-01
1.100000000000000089e+00,1.046002292633056641e+01,0.000000000000000000e+00,-8.946166229248046875e+01,3.160914033651351929e-02,0.000000000000000000e+00,1.355342197418212891e+01,6.631392836570739746e-01,0.000000000000000000e+00,-7.484960556030273438e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.084778785705566406e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.617993950843811035e-01,0.000000000000000000e+00,9.999996423721313477e-01
1.199999999999999956e+00,1.039558887481689453e+01,0.000000000000000000e+00,-8.811039733886718750e+01,-1.359976649284362793e+00,0.000000000000000000e+00,1.344388008117675781e+01,6.228290796279907227e-01,0.000000000000000000e+00,-7.823579311370849609e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.024194955825805664e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.617993950843811035e-01,0.000000000000000000e+00,9.999996423721313477e-01
1.300000000000000044e+00,1.019674015045166016e+01,0.000000000000000000e+00,-8.677653503417968750e+01,-2.651265621185302734e+00,0.000000000000000000e+00,1.320309352874755859e+01,5.831933021545410156e-01,0.000000000000000000e+00,-8.123334646224975586e-01,0.000000000000000000e+00,0.000000000000000000e+00,-9.665456414222717285e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.617993950843811035e-01,0.000000000000000000e+00,9.999996423721313477e-01
1.400000000000000133e+00,9.873895645141601562e+00,0.000000000000000000e+00,-8.547235107421875000e+01,-3.834387540817260742e+00,0.000000000000000000e+00,1.284871673583984375e+01,5.444792509078979492e-01,0.000000000000000000e+00,-8.387743830680847168e-01,0.000000000000000000e+00,0.000000000000000000e+00,-9.115121960639953613e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.617993950843811035e-01,0.000000000000000000e+00,9.999996423721313477e-01
1.500000000000000000e+00,9.438182830810546875e+00,0.000000000000000000e+00,-8.420835876464843750e+01,-4.903265953063964844e+00,0.000000000000000000e+00,1.239925003051757812e+01,5.068906545639038086e-01,0.000000000000000000e+00,-8.620103597640991211e-01,0.000000000000000000e+00,0.000000000000000000e+00,-8.587029576301574707e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.617993950843811035e-01,0.000000000000000000e+00,9.999996423721313477e-01
1.600000000000000089e+00,8.901226043701171875e+00,0.000000000000000000e+00,-8.299310302734375000e+01,-5.854082107543945312e+00,0.000000000000000000e+00,1.187364864349365234e+01,4.705989658832550049e-01,0.000000000000000000e+00,-8.823472261428833008e-01,0.000000000000000000e+00,0.000000000000000000e+00,-8.077885508537292480e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.617993950843811035e-01,0.000000000000000000e+00,9.999996423721313477e-01
1.699999999999999956e+00,8.274915695190429688e+00,0.000000000000000000e+00,-8.183332824707031250e+01,-6.685551166534423828e+00,0.000000000000000000e+00,1.129076576232910156e+01,4.357482790946960449e-01,0.000000000000000000e+00,-9.000685214996337891e-01,0.000000000000000000e+00,0.000000000000000000e+00,-7.584224939346313477e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.617993950843811035e-01,0.000000000000000000e+00,9.999996423721313477e-01
1.800000000000000044e+00,7.571148395538330078e+00,0.000000000000000000e+00,-8.073384857177734375e+01,-7.398932933807373047e+00,0.000000000000000000e+00,1.066880607604980469e+01,4.024608731269836426e-01,0.000000000000000000e+00,-9.154371619224548340e-01,0.000000000000000000e+00,0.000000000000000000e+00,-7.103338241577148438e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.617993950843811035e-01,0.000000000000000000e+00,9.999996423721313477e-01
1.900000000000000133e+00,6.801574230194091797e+00,0.000000000000000000e+00,-7.969776153564453125e+01,-7.997871398925781250e+00,0.000000000000000000e+00,1.002481269836425781e+01,3.708399534225463867e-01,0.000000000000000000e+00,-9.286968708038330078e-01,0.000000000000000000e+00,0.000000000000000000e+00,-6.633278727531433105e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.617993950843811035e-01,0.000000000000000000e+00,9.999996423721313477e-01
